,round,accuracy,alpha,repetition,alpha_norm
31,31,0.4742,1,2,0.0
32,32,0.4707,1,2,0.0
33,33,0.4674,1,2,0.0
34,34,0.4714,1,2,0.0
35,35,0.4652,1,2,0.0
36,36,0.4676,1,2,0.0
37,37,0.4658,1,2,0.0
38,38,0.4631,1,2,0.0
39,39,0.4677,1,2,0.0
40,40,0.4652,1,2,0.0
0,0,0.0501,10,8,1.0
1,1,0.1707,10,8,1.0
2,2,0.3204,10,8,1.0
3,3,0.3963,10,8,1.0
4,4,0.432,10,8,1.0
5,5,0.4588,10,8,1.0
6,6,0.4741,10,8,1.0
7,7,0.4898,10,8,1.0
8,8,0.4997,10,8,1.0
9,9,0.5062,10,8,1.0
10,10,0.5075,10,8,1.0
11,11,0.51,10,8,1.0
12,12,0.5136,10,8,1.0
13,13,0.5133,10,8,1.0
14,14,0.5175,10,8,1.0
15,15,0.5125,10,8,1.0
16,16,0.513,10,8,1.0
17,17,0.5135,10,8,1.0
18,18,0.5075,10,8,1.0
19,19,0.5079,10,8,1.0
20,20,0.5033,10,8,1.0
21,21,0.5063,10,8,1.0
22,22,0.5016,10,8,1.0
23,23,0.4951,10,8,1.0
24,24,0.498,10,8,1.0
25,25,0.4945,10,8,1.0
26,26,0.491,10,8,1.0
27,27,0.4911,10,8,1.0
28,28,0.4857,10,8,1.0
29,29,0.4875,10,8,1.0
30,30,0.4805,10,8,1.0
31,31,0.4803,10,8,1.0
32,32,0.4801,10,8,1.0
33,33,0.4816,10,8,1.0
34,34,0.4772,10,8,1.0
35,35,0.4808,10,8,1.0
36,36,0.4759,10,8,1.0
37,37,0.4762,10,8,1.0
38,38,0.4729,10,8,1.0
39,39,0.4706,10,8,1.0
40,40,0.4709,10,8,1.0
0,0,0.0465,1,4,0.0
1,1,0.1135,1,4,0.0
2,2,0.2978,1,4,0.0
3,3,0.365,1,4,0.0
4,4,0.4117,1,4,0.0
5,5,0.4446,1,4,0.0
6,6,0.4569,1,4,0.0
7,7,0.4629,1,4,0.0
8,8,0.4757,1,4,0.0
9,9,0.4913,1,4,0.0
10,10,0.4921,1,4,0.0
11,11,0.4899,1,4,0.0
12,12,0.4927,1,4,0.0
13,13,0.4895,1,4,0.0
14,14,0.496,1,4,0.0
15,15,0.4945,1,4,0.0
16,16,0.4897,1,4,0.0
17,17,0.4857,1,4,0.0
18,18,0.491,1,4,0.0
19,19,0.4903,1,4,0.0
20,20,0.4853,1,4,0.0
21,21,0.4811,1,4,0.0
22,22,0.4798,1,4,0.0
23,23,0.4783,1,4,0.0
24,24,0.4735,1,4,0.0
25,25,0.4752,1,4,0.0
26,26,0.4732,1,4,0.0
27,27,0.4705,1,4,0.0
28,28,0.4672,1,4,0.0
29,29,0.4709,1,4,0.0
30,30,0.467,1,4,0.0
31,31,0.4702,1,4,0.0
32,32,0.4641,1,4,0.0
33,33,0.4673,1,4,0.0
34,34,0.4632,1,4,0.0
35,35,0.4638,1,4,0.0
36,36,0.4658,1,4,0.0
37,37,0.4591,1,4,0.0
38,38,0.4575,1,4,0.0
39,39,0.457,1,4,0.0
40,40,0.4597,1,4,0.0
0,0,0.0501,1000,4,3.0
1,1,0.2088,1000,4,3.0
2,2,0.3325,1000,4,3.0
3,3,0.3893,1000,4,3.0
4,4,0.4297,1000,4,3.0
5,5,0.4518,1000,4,3.0
6,6,0.4716,1000,4,3.0
7,7,0.4864,1000,4,3.0
8,8,0.4966,1000,4,3.0
9,9,0.4966,1000,4,3.0
10,10,0.5034,1000,4,3.0
11,11,0.5049,1000,4,3.0
12,12,0.507,1000,4,3.0
13,13,0.5088,1000,4,3.0
14,14,0.5101,1000,4,3.0
15,15,0.5047,1000,4,3.0
16,16,0.5062,1000,4,3.0
17,17,0.5028,1000,4,3.0
18,18,0.5031,1000,4,3.0
